"Statistics","date","values"
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-03 (Mar)",4446
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-03 (Mar)",3664
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-03 (Mar)",104
"RESIDENTIAL - OTHER (count)","2017-03 (Mar)",1327
"COMMERCIAL TOTAL (count)","2017-03 (Mar)",306
"COMMERCIAL - COMMERCE (count)","2017-03 (Mar)",153
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-03 (Mar)",88
"COMMERCIAL - OTHER (count)","2017-03 (Mar)",65
"RECREATIONAL TOTAL (count)","2017-03 (Mar)",107
"FARM TOTAL (count)","2017-03 (Mar)",84
"OTHER/UNKNOWN TOTAL (count)","2017-03 (Mar)",35
"FMV Sum ($ sum)","2017-03 (Mar)",NA
"FMV Average ($ mean)","2017-03 (Mar)",NA
"FMV Median ($ median)","2017-03 (Mar)",NA
"PTT Paid ($ sum)","2017-03 (Mar)",NA
"PTT Paid Median ($ median)","2017-03 (Mar)",NA
"Foreign Involvement Transactions (count)","2017-03 (Mar)",341
"Foreign Involvement transactions - Residential (count)","2017-03 (Mar)",289
"Foreign Involvement transactions - Commercial (count)","2017-03 (Mar)",14
"Foreign Involvement transactions - Other (count)","2017-03 (Mar)",38
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-03 (Mar)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-03 (Mar)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-03 (Mar)",NA
"Under $1 million (count, foreign involvement transactions)","2017-03 (Mar)",274
"$1 million - $3 million (count, foreign involvement transactions)","2017-03 (Mar)",53
"Over $3 million (count, foreign involvement transactions)","2017-03 (Mar)",14
"Additional Tax Paid ($ sum)","2017-03 (Mar)",NA
"Total Market Transactions (count)","2017-04 (Apr)",9773
"RESIDENTIAL TOTAL (count)","2017-04 (Apr)",9331
"RESIDENTIAL - ACREAGE (count)","2017-04 (Apr)",446
"RESIDENTIAL - COMMERCE (count)","2017-04 (Apr)",64
