DevelopmentRegion,RegionalDistrict,Municipality,Statistics,2016-06 (Jun),2016-07 (Jul),2016-08 (Aug),2016-09 (Sep),2016-10 (Oct),2016-11 (Nov),2016-12 (Dec)
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),321,244,350,248,169,208,126
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL - STRATA RESIDENTIAL (count),112,80,90,72,55,55,56
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),75,NA,1,1,NA,NA,NA
Vancouver Island/Coast,NANAIMO,Nanaimo,RESIDENTIAL - OTHER (count),38,38,41,85,132,37,15
Vancouver Island/Coast,NANAIMO,Nanaimo,COMMERCIAL TOTAL (count),5,4,8,11,7,5,6
Vancouver Island/Coast,NANAIMO,Nanaimo,COMMERCIAL - COMMERCE (count),3,4,6,5,1,3,4
Vancouver Island/Coast,NANAIMO,Nanaimo,COMMERCIAL - STRATA NON-RESIDENTIAL (count),NA,NA,2,3,1,1,1
Vancouver Island/Coast,NANAIMO,Nanaimo,COMMERCIAL - OTHER (count),2,NA,NA,3,5,1,1
Vancouver Island/Coast,NANAIMO,Nanaimo,RECREATIONAL TOTAL (count),NA,2,2,1,2,2,2
Vancouver Island/Coast,NANAIMO,Nanaimo,FARM TOTAL (count),NA,NA,1,NA,NA,1,NA
Vancouver Island/Coast,NANAIMO,Nanaimo,OTHER/UNKNOWN TOTAL (count),2,NA,3,2,NA,1,NA
Vancouver Island/Coast,NANAIMO,Nanaimo,FMV Sum ($ sum),"$199,878,718.85 ","$149,729,183.15 ","$239,490,858.30 ","$161,112,603.97 ","$152,168,020.30 ","$133,626,498.46 ","$81,504,107.52 "
Vancouver Island/Coast,NANAIMO,Nanaimo,FMV Average ($ mean),"$350,050.30 ","$394,024.17 ","$457,043.62 ","$366,165.01 ","$393,199.02 ","$408,643.73 ","$379,088.87 "
Vancouver Island/Coast,NANAIMO,Nanaimo,FMV Median ($ median),"$320,000.00 ","$350,000.00 ","$350,000.00 ","$321,050.00 ","$358,000.00 ","$359,900.27 ","$342,500.00 "
Vancouver Island/Coast,NANAIMO,Nanaimo,PTT Paid ($ sum),"$2,813,324.26 ","$2,174,542.37 ","$3,863,054.19 ","$2,332,753.87 ","$2,165,106.25 ","$1,956,074.85 ","$1,145,537.86 "
Vancouver Island/Coast,NANAIMO,Nanaimo,PTT Paid Median ($ median),"$4,060.00 ","$4,700.00 ","$4,600.00 ","$4,200.00 ","$4,700.00 ","$4,960.00 ","$4,450.06 "
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,Total Market Transactions (count),347,303,234,195,164,134,105
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL TOTAL (count),309,283,230,181,161,129,97
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL - ACREAGE (count),38,31,20,15,13,14,9
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL - COMMERCE (count),4,1,2,2,NA,NA,NA
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL - FARM (count),NA,1,NA,NA,NA,NA,1
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL - MULTI-FAMILY (count),NA,NA,NA,1,NA,2,1
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),223,195,156,97,80,76,57
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL - STRATA RESIDENTIAL (count),30,36,39,26,14,23,15
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),5,8,4,10,3,3,8
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RESIDENTIAL - OTHER (count),9,11,9,30,51,11,6
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,COMMERCIAL TOTAL (count),20,5,2,11,1,3,4
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,COMMERCIAL - COMMERCE (count),3,2,1,4,NA,2,1
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,COMMERCIAL - STRATA NON-RESIDENTIAL (count),16,1,NA,7,NA,1,3
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,COMMERCIAL - OTHER (count),1,2,1,NA,1,NA,NA
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,RECREATIONAL TOTAL (count),14,15,2,3,2,2,3
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,FARM TOTAL (count),NA,NA,NA,NA,NA,NA,NA
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,OTHER/UNKNOWN TOTAL (count),4,NA,NA,NA,NA,NA,1
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,FMV Sum ($ sum),"$144,675,254.37 ","$122,265,131.09 ","$99,288,080.54 ","$81,717,492.27 ","$67,416,930.50 ","$66,395,126.66 ","$39,465,972.17 "
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,FMV Average ($ mean),"$416,931.57 ","$403,515.28 ","$424,308.04 ","$419,064.06 ","$411,078.84 ","$495,486.02 ","$375,866.40 "
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,FMV Median ($ median),"$380,088.00 ","$370,000.00 ","$392,200.00 ","$350,000.00 ","$389,500.00 ","$399,450.00 ","$374,000.00 "
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,PTT Paid ($ sum),"$2,157,100.47 ","$1,853,749.94 ","$1,462,580.15 ","$1,215,593.51 ","$933,367.84 ","$1,033,926.54 ","$531,325.85 "
Vancouver Island/Coast,NANAIMO,Rest of Nanaimo RD,PTT Paid Median ($ median),"$5,300.00 ","$5,280.00 ","$5,490.00 ","$4,500.00 ","$5,145.70 ","$5,270.00 ","$4,770.00 "
