DevelopmentRegion,RegionalDistrict,Municipality,Statistics,2016-06 (Jun),2016-07 (Jul),2016-08 (Aug),2016-09 (Sep),2016-10 (Oct),2016-11 (Nov),2016-12 (Dec)
Mainland/Southwest,METRO VANCOUVER,Burnaby,COMMERCIAL TOTAL (count),18,16,12,21,13,11,7
Mainland/Southwest,METRO VANCOUVER,Burnaby,COMMERCIAL - COMMERCE (count),14,5,5,11,3,5,5
Mainland/Southwest,METRO VANCOUVER,Burnaby,COMMERCIAL - STRATA NON-RESIDENTIAL (count),3,4,3,2,4,5,2
Mainland/Southwest,METRO VANCOUVER,Burnaby,COMMERCIAL - OTHER (count),1,7,4,8,6,1,NA
Mainland/Southwest,METRO VANCOUVER,Burnaby,RECREATIONAL TOTAL (count),NA,NA,NA,NA,NA,NA,NA
Mainland/Southwest,METRO VANCOUVER,Burnaby,FARM TOTAL (count),5,NA,NA,NA,NA,NA,NA
Mainland/Southwest,METRO VANCOUVER,Burnaby,OTHER/UNKNOWN TOTAL (count),NA,1,NA,NA,2,NA,NA
Mainland/Southwest,METRO VANCOUVER,Burnaby,FMV Sum ($ sum),"$615,891,070.10 ","$624,087,652.96 ","$443,603,753.28 ","$433,814,235.96 ","$306,597,146.19 ","$289,408,371.65 ","$260,415,278.33 "
Mainland/Southwest,METRO VANCOUVER,Burnaby,FMV Average ($ mean),"$1,016,321.90 ","$871,630.80 ","$880,166.18 ","$1,030,437.62 ","$952,165.05 ","$716,357.36 ","$741,923.87 "
Mainland/Southwest,METRO VANCOUVER,Burnaby,FMV Median ($ median),"$589,000.00 ","$552,999.50 ","$582,555.00 ","$565,000.00 ","$574,000.00 ","$455,000.00 ","$479,900.00 "
Mainland/Southwest,METRO VANCOUVER,Burnaby,PTT Paid ($ sum),"$12,011,462.19 ","$11,265,280.59 ","$8,287,286.26 ","$10,375,167.77 ","$7,223,073.75 ","$7,810,391.20 ","$6,318,086.36 "
Mainland/Southwest,METRO VANCOUVER,Burnaby,PTT Paid Median ($ median),"$9,730.00 ","$9,000.00 ","$9,950.00 ","$9,240.00 ","$9,000.00 ","$7,050.00 ","$7,598.00 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,Total Market Transactions (count),3782,3497,2915,2377,1761,1813,1442
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL TOTAL (count),3739,3451,2873,2300,1698,1778,1401
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL - ACREAGE (count),80,59,58,51,19,32,28
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL - COMMERCE (count),5,4,9,4,3,5,5
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL - FARM (count),11,23,20,13,7,8,7
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL - MULTI-FAMILY (count),11,17,9,12,6,12,6
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),1864,1798,1309,838,565,613,513
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL - STRATA RESIDENTIAL (count),1415,1320,1095,935,588,799,721
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),22,10,17,13,5,10,10
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RESIDENTIAL - OTHER (count),331,220,356,434,505,299,111
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,COMMERCIAL TOTAL (count),36,31,34,62,50,33,37
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,COMMERCIAL - COMMERCE (count),12,14,8,37,8,8,12
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,COMMERCIAL - STRATA NON-RESIDENTIAL (count),10,10,15,19,10,19,18
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,COMMERCIAL - OTHER (count),14,7,11,6,32,6,7
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,RECREATIONAL TOTAL (count),4,1,1,6,2,NA,1
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,FARM TOTAL (count),3,3,3,6,2,1,NA
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,OTHER/UNKNOWN TOTAL (count),NA,11,4,3,9,1,3
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,FMV Sum ($ sum),"$3,418,644,428.06 ","$3,408,608,149.37 ","$2,668,529,801.98 ","$2,072,646,157.78 ","$1,406,568,715.46 ","$1,504,026,621.25 ","$1,152,739,422.67 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,FMV Average ($ mean),"$903,925.02 ","$974,723.52 ","$915,447.62 ","$871,958.84 ","$798,732.94 ","$829,578.94 ","$799,403.21 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,FMV Median ($ median),"$650,944.00 ","$725,000.00 ","$678,000.00 ","$554,482.76 ","$535,000.00 ","$568,000.00 ","$532,800.00 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,PTT Paid ($ sum),"$63,495,780.91 ","$64,528,657.82 ","$50,039,152.41 ","$41,014,046.00 ","$28,237,711.69 ","$31,512,491.23 ","$21,848,770.65 "
Mainland/Southwest,METRO VANCOUVER,Rest of Metro Vancouver,PTT Paid Median ($ median),"$10,928.00 ","$12,298.00 ","$11,200.00 ","$8,810.00 ","$8,407.00 ","$8,660.00 ","$7,864.00 "
Mainland/Southwest,METRO VANCOUVER,Richmond,Total Market Transactions (count),741,802,565,538,818,772,399
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL TOTAL (count),703,781,537,506,801,754,375
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL - ACREAGE (count),1,2,NA,1,1,NA,1
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL - COMMERCE (count),1,2,1,1,1,NA,1
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL - FARM (count),2,NA,1,2,NA,NA,1
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL - MULTI-FAMILY (count),6,13,7,10,5,4,11
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),251,272,166,117,83,78,68
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL - STRATA RESIDENTIAL (count),394,458,321,286,192,218,171
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),5,NA,7,11,4,1,37
Mainland/Southwest,METRO VANCOUVER,Richmond,RESIDENTIAL - OTHER (count),43,34,34,78,515,453,85
Mainland/Southwest,METRO VANCOUVER,Richmond,COMMERCIAL TOTAL (count),37,20,28,29,17,18,21
Mainland/Southwest,METRO VANCOUVER,Richmond,COMMERCIAL - COMMERCE (count),10,6,3,12,1,8,3
Mainland/Southwest,METRO VANCOUVER,Richmond,COMMERCIAL - STRATA NON-RESIDENTIAL (count),27,11,23,13,10,8,17
Mainland/Southwest,METRO VANCOUVER,Richmond,COMMERCIAL - OTHER (count),NA,3,2,4,6,2,1
Mainland/Southwest,METRO VANCOUVER,Richmond,RECREATIONAL TOTAL (count),NA,NA,NA,NA,NA,NA,1
Mainland/Southwest,METRO VANCOUVER,Richmond,FARM TOTAL (count),1,NA,NA,2,NA,NA,1
Mainland/Southwest,METRO VANCOUVER,Richmond,OTHER/UNKNOWN TOTAL (count),NA,1,NA,1,NA,NA,1
Mainland/Southwest,METRO VANCOUVER,Richmond,FMV Sum ($ sum),"$1,042,011,534.16 ","$830,730,883.32 ","$516,382,940.96 ","$569,414,199.10 ","$566,872,020.03 ","$490,671,052.93 ","$388,791,748.86 "
Mainland/Southwest,METRO VANCOUVER,Richmond,FMV Average ($ mean),"$1,406,223.39 ","$1,035,824.04 ","$913,952.11 ","$1,058,390.70 ","$692,997.58 ","$635,584.27 ","$974,415.41 "
Mainland/Southwest,METRO VANCOUVER,Richmond,FMV Median ($ median),"$680,000.00 ","$720,000.00 ","$570,000.00 ","$593,500.00 ","$452,985.75 ","$461,735.00 ","$530,000.00 "
Mainland/Southwest,METRO VANCOUVER,Richmond,PTT Paid ($ sum),"$22,737,338.86 ","$15,781,118.25 ","$10,173,502.34 ","$12,482,906.75 ","$14,192,183.25 ","$12,966,783.50 ","$9,878,293.91 "
Mainland/Southwest,METRO VANCOUVER,Richmond,PTT Paid Median ($ median),"$11,300.00 ","$12,320.00 ","$9,760.00 ","$9,715.00 ","$6,024.00 ","$5,401.00 ","$8,100.00 "
Mainland/Southwest,METRO VANCOUVER,Surrey,Total Market Transactions (count),1973,1936,1594,1291,972,1001,1323
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL TOTAL (count),1931,1908,1569,1244,953,977,1290
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL - ACREAGE (count),17,10,10,14,4,11,8
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL - COMMERCE (count),3,4,5,1,3,2,3
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL - FARM (count),3,2,5,6,2,3,5
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL - MULTI-FAMILY (count),4,7,3,3,NA,6,7
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),996,944,730,480,257,372,253
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL - STRATA RESIDENTIAL (count),729,680,626,518,339,457,360
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),3,20,16,7,7,18,19
Mainland/Southwest,METRO VANCOUVER,Surrey,RESIDENTIAL - OTHER (count),176,241,174,215,341,108,635
