"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid Median ($ median)","2016-10 (Oct)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid Median ($ median)","2016-11 (Nov)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","PTT Paid Median ($ median)","2016-12 (Dec)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-06 (Jun)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-07 (Jul)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-08 (Aug)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-09 (Sep)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-10 (Oct)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-11 (Nov)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RECREATIONAL TOTAL (count)","2016-12 (Dec)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - ACREAGE (count)","2016-06 (Jun)",15
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - ACREAGE (count)","2016-07 (Jul)",9
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - ACREAGE (count)","2016-08 (Aug)",13
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - ACREAGE (count)","2016-09 (Sep)",5
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - ACREAGE (count)","2016-10 (Oct)",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - ACREAGE (count)","2016-11 (Nov)",5
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - ACREAGE (count)","2016-12 (Dec)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-06 (Jun)",6
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-07 (Jul)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-08 (Aug)",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-09 (Sep)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-10 (Oct)",5
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-11 (Nov)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - COMMERCE (count)","2016-12 (Dec)",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-06 (Jun)",11
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-07 (Jul)",8
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-08 (Aug)",9
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-09 (Sep)",12
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-10 (Oct)",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-11 (Nov)",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - FARM (count)","2016-12 (Dec)",6
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-06 (Jun)",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-07 (Jul)",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-08 (Aug)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-09 (Sep)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-10 (Oct)",NA
"Mainland/Southwest","FRASER VALLEY","Abbotsford","RESIDENTIAL - MULTI-FAMILY (count)","2016-11 (Nov)",NA
