"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2016-12",351
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-01",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-02",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-03",5
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-04",5
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-05",5
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-06",8
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-07",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-08",6
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-09",6
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - COMMERCE (count)","2017-10",12
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-01",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-03",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-04",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-05",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-06",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-07",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-08",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-09",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - OTHER (count)","2017-10",4
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-01",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-02",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-03",10
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-04",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-05",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-06",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-07",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-08",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-09",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-10",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-01",4
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-02",5
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-03",15
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-04",9
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-05",8
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-06",12
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-07",6
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-08",7
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-09",8
"Mainland/Southwest","METRO VANCOUVER","Burnaby","COMMERCIAL TOTAL (count)","2017-10",18
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-01",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-03",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-04",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-05",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-06",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-07",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-08",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-09",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FARM TOTAL (count)","2017-10",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-01",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-02",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-03",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-04",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-05",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-06",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-07",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-08",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-09",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Median of Foreign Involvement Transactions ($ median)","2017-10",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-01",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-02",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-03",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-04",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-05",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-06",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-07",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-08",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-09",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","FMV Sum of Foreign Involvement Transactions ($ sum)","2017-10",NA
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-01",20
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-02",5
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-03",11
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-04",7
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-05",34
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-06",42
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-07",68
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-08",53
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-09",57
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Foreign Involvement Transactions (count)","2017-10",28
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-01",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-03",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-04",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-05",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-06",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-07",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-08",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-09",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","OTHER/UNKNOWN TOTAL (count)","2017-10",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-01",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-03",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-04",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-05",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-06",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-07",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-08",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-09",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RECREATIONAL TOTAL (count)","2017-10",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-01",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-03",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-04",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-05",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-06",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-07",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-08",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-09",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - ACREAGE (count)","2017-10",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-01",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-03",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-04",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-05",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-06",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-07",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-08",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-09",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - COMMERCE (count)","2017-10",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-01",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-03",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-04",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-05",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-06",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-07",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-08",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-09",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - FARM (count)","2017-10",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-01",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-02",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-03",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-04",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-05",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-06",5
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-07",5
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-08",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-09",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - MULTI-FAMILY (count)","2017-10",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-01",25
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-02",6
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-03",4
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-04",5
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-05",155
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-06",62
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-07",381
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-08",261
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-09",201
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - OTHER (count)","2017-10",51
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-01",43
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-02",50
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-03",80
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-04",73
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-05",114
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-06",160
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-07",140
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-08",127
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-09",88
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-10",83
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-01",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-03",0
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-04",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-05",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-06",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-07",4
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-08",3
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-09",2
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-10",1
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-01",145
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-02",135
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-03",191
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-04",166
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-05",319
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-06",344
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-07",322
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-08",322
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-09",276
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-10",263
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-01",217
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-02",193
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-03",278
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-04",247
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-05",595
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-06",575
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-07",855
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-08",717
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-09",570
"Mainland/Southwest","METRO VANCOUVER","Burnaby","RESIDENTIAL TOTAL (count)","2017-10",400
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-01",221
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-02",198
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-03",294
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-04",257
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-05",603
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-06",588
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-07",863
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-08",724
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-09",578
"Mainland/Southwest","METRO VANCOUVER","Burnaby","Total Market Transactions (count)","2017-10",418
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-01",4
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-02",2
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-03",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-04",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-05",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-06",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-07",3
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-08",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-09",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - COMMERCE (count)","2017-10",3
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-01",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-03",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-04",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-05",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-06",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-07",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-08",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-09",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - OTHER (count)","2017-10",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-01",3
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-02",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-03",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-04",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-05",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-06",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-07",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-08",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-09",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-10",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-01",7
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-02",3
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-03",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-04",2
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-05",2
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-06",2
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-07",4
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-08",2
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-09",1
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","COMMERCIAL TOTAL (count)","2017-10",3
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","FARM TOTAL (count)","2017-01",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","FARM TOTAL (count)","2017-02",0
"Mainland/Southwest","METRO VANCOUVER","CITY OF COQUITLAM","FARM TOTAL (count)","2017-03",0
