"DevelopmentRegion","RegionalDistrict","Municipality","Statistics","date","values"
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2016-12",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-01",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-02",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-03",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-04",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-05",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-06",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-07",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-08",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-09",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - OTHER (count)","2017-10",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-06",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-07",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-08",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-09",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-10",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-11",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-12",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-01",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-02",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-03",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-04",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-05",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-06",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-07",7
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-08",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-09",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-10",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-06",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-07",6
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-08",7
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-09",6
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-10",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-11",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2016-12",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-01",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-02",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-03",3
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-04",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-05",7
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-06",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-07",7
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-08",8
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-09",6
"Mainland/Southwest","FRASER VALLEY","Chilliwack","COMMERCIAL TOTAL (count)","2017-10",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2016-06",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2016-07",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2016-08",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2016-09",4
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2016-10",20
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2016-11",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2016-12",3
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-01",1
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-02",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-03",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-04",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-05",6
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-06",5
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-07",6
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-08",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-09",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FARM TOTAL (count)","2017-10",2
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-01",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-02",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-03",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-04",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-05",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-06",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-07",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-08",0
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-09",NA
"Mainland/Southwest","FRASER VALLEY","Chilliwack","FMV Median of Foreign Involvement Transactions ($ median)","2017-10",0
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-01",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-02",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-03",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-04",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-05",0
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-06",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-07",4
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-08",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-09",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - COMMERCE (count)","2017-10",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-01",0
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-02",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-03",5
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-04",0
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-05",3
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-06",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-07",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-08",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-09",7
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - OTHER (count)","2017-10",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-01",2
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-02",36
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-03",0
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-04",4
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-05",5
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-06",8
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-07",6
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-08",5
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-09",0
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-10",1
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2017-01",4
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2017-02",41
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2017-03",6
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2017-04",6
"Mainland/Southwest","FRASER VALLEY","Abbotsford","COMMERCIAL TOTAL (count)","2017-05",8
